RTs,subs,class,EncAct,subsMem,ECent
1.4106,1,TRUE,1.0826,2,-0.3131
2.0073,1,TRUE,-0.34584,2,0.23115
1.8991,1,FALSE,-1.2738,1,0.41526
1.8147,1,TRUE,2.7028,1,0.56905
1.4427,1,TRUE,-0.56447,2,0.078841
1.2553,1,TRUE,2.4813,2,0.3689
2.5071,1,FALSE,-0.63924,2,0.031593
1.7749,1,FALSE,3.1592,2,-0.39148
2.2314,1,FALSE,3.5481,2,0.46533
2.6669,1,TRUE,0.53038,1,0.10736
1.9589,1,FALSE,2.4811,1,0.60252
2.2874,1,TRUE,1.8975,2,-0.033504
2.9424,2,TRUE,3.447,2,0.39717
2.6787,2,FALSE,2.7753,2,0.061898
1.8863,2,FALSE,2.5457,2,0.36292
2.1107,2,TRUE,-0.056238,2,0.21245
1.1625,2,TRUE,-1.0625,2,0.21692
2.0908,2,FALSE,1.0304,2,-0.20503
0,2,FALSE,0.12187,1,-0.23336
2.1103,2,FALSE,0.78055,1,-0.040297
0,2,FALSE,-2.2845,1,-0.36588
1.7546,2,TRUE,3.8815,2,0.43805
1.9629,2,FALSE,1.5888,1,0.25261
1.9507,2,TRUE,-1.5128,2,0.5009
1.8302,2,FALSE,0.57278,2,0.1268
2.0066,2,FALSE,0.14082,2,0.42543
1.3065,2,FALSE,-0.32362,2,0.11461
2.1664,2,TRUE,-0.13049,2,0.10778
2.3025,2,FALSE,1.0038,2,0.39709
1.9065,2,FALSE,1.7426,2,-0.00026761
1.2917,2,TRUE,1.6638,2,-0.03664
2.4441,2,FALSE,0.72297,2,0.3418
2.0759,2,TRUE,1.7693,2,-0.20464
2.0441,2,FALSE,1.4666,2,-0.10929
1.6838,2,TRUE,2.7932,2,0.50979
1.8796,2,FALSE,3.4026,2,0.46704
2.4042,2,FALSE,0.16369,1,0.097913
2.4399,2,FALSE,4.3325,2,0.55724
1.6599,2,FALSE,3.6962,2,0.13427
0,2,FALSE,-2.7593,1,0.37697
1.5878,2,TRUE,-2.2645,2,0.16641
1.8843,2,TRUE,0.14955,2,-0.19025
1.6476,2,TRUE,0.86111,2,0.089845
2.0777,2,TRUE,0.57086,2,0.24407
2.0569,2,TRUE,4.1514,2,-0.34922
2.2727,2,TRUE,-0.60193,2,0.12672
2.3971,2,FALSE,-2.2942,2,0.21106
2.7771,2,TRUE,-1.1714,1,-0.28002
2.3325,2,FALSE,2.0459,2,0.40903
1.6453,2,FALSE,0.067225,2,0.25395
0,2,FALSE,-0.88314,1,-0.30232
1.6687,2,TRUE,2.9779,2,-0.038747
1.6486,2,TRUE,2.5074,2,-0.16088
1.5004,2,FALSE,3.0077,2,-0.26709
1.6408,2,TRUE,2.9254,2,0.62676
2.0444,2,FALSE,0.29963,2,0.15644
2.401,2,FALSE,0.34405,1,-0.12923
0,2,FALSE,1.0302,1,0.071667
1.2926,2,TRUE,0.54374,2,-0.06224
0,2,FALSE,1.8478,1,0.39278
2.1605,2,TRUE,1.4044,2,0.53732
1.3737,2,TRUE,1.0268,2,0.56675
1.7862,2,FALSE,2.7424,2,-0.10314
1.2862,2,FALSE,3.6595,2,-0.33983
0,2,FALSE,-1.4485,1,0.3192
1.3143,2,FALSE,2.3711,2,-0.35943
2.3256,2,FALSE,-1.8656,1,0.26567
1.7461,2,FALSE,1.6594,1,-0.2189
2.542,2,FALSE,-1.4086,2,0.053922
2.3698,2,TRUE,1.4381,1,0.1679
2.0377,2,TRUE,0.78911,2,0.11586
1.4582,2,FALSE,1.238,2,-0.054141
2.5981,2,TRUE,-0.0062744,1,-0.26157
0,2,FALSE,-1.805,1,-0.34914
1.4538,2,TRUE,1.5165,2,0.52038
2.1101,2,TRUE,-1.1602,1,0.084517
1.3699,2,FALSE,1.4611,2,0.12107
1.5541,2,FALSE,2.7951,2,-0.083288
1.366,2,TRUE,-0.43445,2,0.062336
1.8346,2,FALSE,1.2228,2,0.32747
2.214,2,FALSE,2.1471,2,0.36975
0,2,FALSE,1.2816,1,0.14086
1.7903,2,FALSE,3.2587,1,0.50721
2.0741,2,FALSE,2.646,1,0.44947
1.382,2,FALSE,1.7691,2,0.2983
1.7946,2,FALSE,1.1359,2,0.59282
1.8383,2,FALSE,1.5035,2,-0.081488
1.7261,2,TRUE,0.73286,2,0.35061
1.8824,2,FALSE,0.097749,2,0.17197
2.4783,2,TRUE,1.573,1,0.33906
1.5702,2,FALSE,2.6578,2,0.42535
1.3338,2,TRUE,-0.96742,2,0.020146
1.5663,2,FALSE,1.0896,2,0.18134
2.2019,2,TRUE,2.4133,1,-0.11269
1.342,2,TRUE,1.0508,2,-0.00018121
1.7305,2,FALSE,2.3484,2,-0.42587
1.9423,2,TRUE,1.6274,2,0.25902
2.1659,2,TRUE,1.1346,2,0.42994
1.1704,2,TRUE,0.89123,2,0.56055
2.1625,2,TRUE,2.8251,1,0.54684
1.7581,2,TRUE,-2.6818,2,0.027385
2.098,2,FALSE,1.5611,2,-0.19996
1.4263,2,FALSE,4.5285,2,-0.13018
